,題目,A,B,C,D,答案
588,“輪回眼”中的“修羅道”可以操控什麼？,能量,物質,時間,空間,B
589,哪位角色使用了“神羅天征”來排斥攻擊？,佩恩,宇智波斑,自來也,鳴人,A
590,誰的“雷遁·雷光”技術能夠發出強力雷電？,奇拉比,鳴人,佐助,大蛇丸,A
591,“八門遁甲”的第七門是什麼？,生門,死門,開門,閉門,B
592,誰在故事中使用了“禁術·輪回天生”來影響生命？,佩恩,宇智波斑,佐助,大蛇丸,A
593,“仙人模式”能夠增強角色的什麼能力？,查克拉與感知能力,速度與力量,火焰攻擊,冰霜防護,A
594,哪位角色擁有“寫輪眼”的“須佐能乎”？,自來也,鳴人,佐助,大蛇丸,C
595,誰能夠使用“九尾模式”的“完全化身”？,奇拉比,鳴人,佩恩,佐助,B
596,“木遁·木龍”技術是由哪位角色施展的？,千手柱間,佩恩,自來也,佐助,A
597,“八卦·空間遷移”技術的發明者是誰？,日向寧次,鳴人,佩恩,大蛇丸,A
598,誰的“輪回眼”技術能夠使用“天道”進行強力攻擊？,佩恩,宇智波斑,佐助,大蛇丸,A
599,“神羅天征”技術主要用於什麼？,排斥敵人,吸引敵人,創造幻影,發射火焰,A
